"","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","age_grp"
"1","Age 37","Gender Female","Country United States","state IL","self_employed NA","family_history No","treatment Yes","work_interfere Often","no_employees 6-25","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program No","seek_help Yes","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 36-40"
"2","Age 44","Gender Male","Country United States","state IN","self_employed NA","family_history No","treatment No","work_interfere Rarely","no_employees More than 1000","remote_work No","tech_company No","benefits Don't know","care_options No","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"3","Age 32","Gender Male","Country Canada","state NA","self_employed NA","family_history No","treatment No","work_interfere Rarely","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Yes","phys_health_interview Yes","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"4","Age 31","Gender Male","Country United Kingdom","state NA","self_employed NA","family_history Yes","treatment Yes","work_interfere Often","no_employees 26-100","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity No","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Yes","coworkers Some of them","supervisor No","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical No","obs_consequence Yes","age_grp 31-35"
"5","Age 31","Gender Male","Country United States","state TX","self_employed NA","family_history No","treatment No","work_interfere Never","no_employees 100-500","remote_work Yes","tech_company Yes","benefits Yes","care_options No","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Yes","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"6","Age 33","Gender Male","Country United States","state TN","self_employed NA","family_history Yes","treatment No","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"7","Age 35","Gender Female","Country United States","state MI","self_employed NA","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity No","leave Somewhat difficult","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"8","Age 39","Gender Male","Country Canada","state NA","self_employed NA","family_history No","treatment No","work_interfere Never","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 36-40"
"9","Age 42","Gender Female","Country United States","state IL","self_employed NA","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity No","leave Very difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 41-55"
"10","Age 23","Gender Male","Country Canada","state NA","self_employed NA","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 22-25"
